id;name;main_activity;secondary_activities;genres;region__country;contact_information;website
1;"'DLS GROUP'"" HOLDING GROUP'"" LLP""";Content creation / Production / Distribution (Production company/Content creation.);Financing & supports (Advertising / Media Agency and Brands);Drama / Fiction / Scripted Format (Series, TV Movies);Europe (Kazakhstan);"BC 'Water - Green boulevard'"",12/1 , 5 floor, 320 unit   | Konayevstr., | ASTANA | Z05H9B0 | Kazakhstan"""; - 
2;"'KIT FILM STUDIO'""""";Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies);Europe (Russia);29 Vereyskaya st  | Bld.134 | MOSCOW | MOSCOWREGION | 121357 | RussianFederation;http://www.kit-film.com/
3;# EDITH PARIS;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Sales Agent);"Docs & Factual (Arts, Music & Culture, Current Affairs, Ethnology & Sociology, History & Civilisation, Lifestyle, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine)";Europe (France);24 rue Anatole France  | LEVALLOISPERRET | Ile-de-France | 92300;http://www.edithparis.com/
4;07 PRODUCTION;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (TV Channel);"Kids & Teens (Docs for Kids, Live-Action); Docs & Factual (History & Civilisation); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show)";Europe (Ukraine);30 Dmytrivska str.  | KYIV | 01601 | Ukraine;http://www.inter.ua/
5;1+1 GROUP OF COMPANIES;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom)";Europe (Ukraine);Kyrylivska str. 23  | KYIV | 04080 | Ukraine;http://www.1plus1.ua/
6;1+1 MEDIA ;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation, Rights Holder / Distributor);"Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Ukraine);23 Kyrylivska Street  | KYIV | 04080 | Ukraine;http://www.media.1plus1.ua/
7;100.000VOLTS.TV;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality)";Europe (Belgium);Rodedreef 55  | SCHILDE | 2970 | Belgium;http://www.100000volts.tv/
8;101 FILMS LIMITED;Broadcasting platforms (Online Video Platform/MCN);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, TV Movies); BrandedEntertainment";Europe (UK);Fisher Street Studios  | 3FisherStreet | LEWES | EastSussex | BN72DG | UnitedKingdom; - 
9;102 DISTRIBUTION;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);Docs & Factual (Arts, Music & Culture, Current Affairs);Europe (Italy);Via Giuseppe Sacconi 4/B  | ROME | Lazio | 00196 | Italy;http://www.102distribution.com/
10;108 MEDIA;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Music; Sports";North America (Canada);25 Lesmill Rd  | Suite5 | TORONTO | M3B2T3 | Canada;http://www.108media.com/
11;1080 LINEAS WILDLIFE PRODUCTIONS;Content creation / Production / Distribution (Production company/Content creation.); - ;Docs & Factual (Nature & Wildlife);Europe (Spain);Calle  | LeonXIII,40 | PUEBLADELACALZADA | 06490 | Spain;http://www.1080lineas.es/
12;1080 MEDIA TV;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Reality / Factual); Sports";Europe (UK);6 Glenthorne Mews  | 115AGlenthorneRd | LONDON | W60LJ | UnitedKingdom;http://www.1080media.org/
13;10TH AVE PRODUCTIONS;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation, Kids Interactive, Live-Action); Docs & Factual (Science & Knowledge); Drama / Fiction / Scripted Format (Feature Film, Series)";North America (Canada);209 Jean Juneau  | ST-AUGUSTIN-DE-DESMAURES | QC | G3A2W1 | Canada;http://www.10ave.com/
14;111 PRODUCCIONES;Content creation / Production / Distribution (Production company/Content creation.);Technology and Services (Content management);"Kids & Teens (Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults";South & Central America (Peru);Calle La Avellana 137  | Surquillo | LIMA | 34 | Peru;http://www.111producciones.com/
15;13 ENTERTAINMENT;Content creation / Production / Distribution (Rights Holder / Distributor);Broadcasting platforms (TV Channel);Drama / Fiction / Scripted Format (Feature Film);Asia Pacific (Indonesia);Jl. Bintaro Raya No. 5  | JAKARTASELATAN | 12240 | Indonesia;http://www.13entertainment.com/
16;1441 PRODUCTIONS; - ; - ; - ;Europe (Turkey);LEVENT MAH HACI ADIL CD NO.2  | ISTANBUL | 34330 | Turkey;http://www.1441productions.com.tr/
17;1905 (BEIJING) NETWORK TECHNOLOGY CO., LTD.;Broadcasting platforms (Online Video Platform/MCN);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Feature Film, TV Movies);Asia Pacific (China);3F Building F Huayuan Enterprise  | No5BeizhanNorthStreet | BEIJING | Beijing | 100044 | China;http://1905.com/
18;2 PRO COMUNICACAO;Financing & supports (PR, Talent and Literary Agency);Broadcasting platforms (Social Network/Online publisher); - ;South & Central America (Brazil);Rua Dep Lacerda Franco 300  | SAOPAULO | SP | 0541800 | Brazil; - 
19;20 MINUTES NICE; - ; - ; - ;Europe (France);Agence Nice presse  | 4rueSteRéparate | 06300 | France;http://www.20minutes.fr/
20;2001 O PRODUCTION;Content creation / Production / Distribution (Production company/Content creation.); - ; - ;Europe (France);12-16 rue Guynemer  | ISSYLESMOULINEAUX | Ile-de-France | 92130; - 
62;99PRO MEDIA GMBH;Content creation / Production / Distribution (Production company/Content creation.); - ;Docs & Factual (Current Affairs, Reality / Factual);Europe (Germany);Eisenacher Strasse 86  | LEIPZIG | Sachsen | 04155 | Germany;http://www.99pro.de/
21;21 MILLLION PRODUCTIONS;Content creation / Production / Distribution (Production company/Content creation.);Financing & supports (Film Commission / Fundings);Drama / Fiction / Scripted Format (Miniseries, Series, TV Movies);Europe (UK);6 Styles Lane  | WADHURST | TN56DZ | UnitedKingdom;http://www.21million.tv/
22;24 HOURS MAGAZINE; - ; - ; - ;Africa (Egypt);7 Delta St Off Tahrir street  | Dokkigiza | CAIRO | 12311 | Egypt;http://www.moodygraphic.com/
23;28LAB;Content creation / Production / Distribution (Licensing Agent);Content creation / production / rights holder (Production company/Content creation, Sales Agent);"Docs & Factual (Archive, Current Affairs, Lifestyle, Nature & Wildlife, Reality / Factual); Drama / Fiction / Scripted Format (Short Film); Sports; News";Asia Pacific (Japan);;http://www.28lab.com/
24;2BTUBE;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (Online Video Platform/MCN);"Kids & Teens (Animation); Non-Scripted Formats (Factual Entertainment / Magazine, TV Game Show); Drama / Fiction / Scripted Format (Short Film); Music; Sports";North America (USA);2200 NW 2nd Avenue   | Suite206 | MIAMI | FL | 33127 | UnitedStates; - 
25;2DLAB;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation, Kids Interactive); Drama / Fiction / Scripted Format (Feature Film); BrandedEntertainment; Gaming (Online / Mobile Games)";South & Central America (Brazil);Rua Barão do Flamengo 22/801  | RIODEJANEIRO | RJ | 22220900 | Brazil;http://www.2dlab.com.br/
26;2ENDS TELECOM LTD;Content creation / Production / Distribution (Sales Agent);"Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator, TV Channel); Technology and Services (Content management)";"Kids & Teens (Animation); Docs & Factual (Archive, Arts, Music & Culture, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge); Non-Scripted Formats (TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults";Europe (Poland);Concept Tower  | Grzybowska87 | WARSAW | 00-844 | Poland;http://www.2ends.pl/
27;2X2 TELEVISION AND BROADCASTING COMPANY LLC;Broadcasting platforms (TV Channel); - ;"Kids & Teens (Animation, Live-Action); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film)";Europe (Russia);Olimpiyskiy Prospect, 14  | MOSCOW | 129090 | RussianFederation;http://www.2x2tv.ru/
28;3 DOUBLES PRODUCCIONES;Content creation / Production / Distribution (Production company/Content creation.);Technology and Services (Post Production/Studios);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Series); Gaming (Console Games)";Europe (Spain);Edificio Sociedad de Desarrollo  | PlazaVíctimasdelTerrorismo,1Primeraplanta | SANTACRUZDETENERIFE. | 38003 | Spain;http://www.3doubles.com/
29;3 PLUS GROUP AG;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation);"Docs & Factual (Educational, youth oriented, Science & Knowledge); Drama / Fiction / Scripted Format (Feature Film, Series)";Europe (Switzerland);Obermattweg 12  | HERGISWIL | Nidwalden | 6052 | Switzerland;http://www.3plus.tv/
30;32 NORTH;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);Content creation / production / rights holder (Production company/Content creation);Docs & Factual (Lifestyle);North America (USA);19651 Descartes  | LAKEFOREST | CA | 92610 | UnitedStates; - 
31;360 POWWOW;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Live-Action); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom)";North America (USA);398 East Dania Beach Blvd.  | #105 | DANIABEACH | FL | 33004 | UnitedStates;http://www.360powwow.com/
32;360 PRODUCTION LTD ;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Ethnology & Sociology, History & Civilisation, Nature & Wildlife, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Series)";Europe (UK);11C Gower Mews  | LONDON | WC1E6HP | UnitedKingdom;http://www.360production.com/
33;365 MEDIA;Broadcasting platforms (TV Channel);Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);"Kids & Teens (Animation); Docs & Factual (Lifestyle, Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies)";Europe (Iceland);Skaftahlid 24  | REYKJAVIK | 105 | Iceland;http://www.365midlar.is/
34;3BEEP;Technology and Services (Post Production/Studios); - ;Kids & Teens (Animation);North America (USA);1650 Broadway  | Suite401 | NEWYORK | NY | 10019 | UnitedStates;http://www.3beep.net/
35;3BOXMEDIA (Creative Europe MEDIA);Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Docs for Kids); Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green)";Europe (Germany);Siebengebirgsallee 36  | COLOGNE | Nordrhein-Westfalen | 50939 | Germany;http://www.3boxmedia.com/
36;3C MEDIA; - ;"Content creation / production / rights holder (Production company/Content creation, Rights Holder / Distributor); Broadcasting platforms (Online Video Platform/MCN)";"Docs & Factual (Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show)";Asia Pacific (China);Waiwen Culture & Creative Park Building  | 5,#20ZizhuyuanSouthRoad | BEIJING | Beijing | 100044 | China;http://www.3cmedia.com.cn/
37;3CYCLE SRL;Technology and Services (Post Production/Studios); - ;"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, TV Movies)";Europe (Italy);Viale Angelico, 45  | ROMA | 00195 | Italy;http://www.3cycle.it/
38;3D & 4K CONTENT HUB; - ; - ; - ;Asia Pacific (Australia);1/45 Wanda Road  | CaulfieldNorth | CAULFIELDNORTH | VIC | 3161 | Australia;http://www.4kcontenthub.com/
39;3D SPARROW;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Kids & Teens (Animation);Europe (Russia);7/9 Khlebozavodsk proezd, 8th floor, XV - Room 18P  | MOSCOW | 115230 | RussianFederation;http://3d-sparrow.com/
40;3DD PRODUCTIONS;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Docs & Factual (Archive, Arts, Music & Culture, History & Civilisation, Science & Knowledge); Music";Europe (UK);3rd Floor  | 8-12CamdenHighStreet | LONDON | London | NW10JH | UnitedKingdom;http://www.3ddgroup.com/
63;9GAG; - ; - ; - ;Asia Pacific (China);Waiwen Culture&Creative Park Building 5,#20  | ZizhuyuanSouthRoad | BEIJING | Beijing | 100044 | China; - 
41;3LINE MEDIA SDN BHD;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation, Sales Agent, Theatrical distributor);"Kids & Teens (Animation); Docs & Factual (Lifestyle, Nature & Wildlife); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies)";Asia Pacific (Malaysia);Suite 2-25, Jalan Prima SG1  | TamanPrimaGombak | BATUCAVES | Selangor | 68100 | Malaysia;http://www.linemedia.com.my/
42;3RIVERS;Financing & supports (Consulting company); - ;Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show);Europe (Netherlands);Mediacentrum  | JoopvandenEndeplein1 | HILVERSUM | 1217WJ | Netherlands;http://www.3rivers.nl/
43;3VISION;Technology and Services (Content management);Financing & supports (Consulting company (law firm, merchandising,...));"Kids & Teens (Docs for Kids); Docs & Factual (Lifestyle, Nature & Wildlife, Reality / Factual); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, TV Movies)";Europe (UK);26 Circus Mews  | BATH | BA12PW | UnitedKingdom;http://www.3vision.tv/
44;4 ENTERTAINMENT GROUP;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Feature Film, Series);North America (USA);9204 NE 10th Ave.  | MIAMI | FL | 33138 | UnitedStates;http://www.4entertainmentgroup.com/
45;41 ENTERTAINMENT LLC;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);Kids & Teens (Animation);North America (USA);500 West Putnam Avenue  | 4thFloor | GREENWICH | CT | 06830 | UnitedStates;http://www.41e.tv/
46;42;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation, Live-Action); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies)";Europe (UK);8 Flitcroft Street   | LONDON | WC2H8DL | UnitedKingdom;http://www.42mp.com/
47;44 BLUE PRODUCTIONS;Content creation / Production / Distribution (Production company/Content creation.); - ;Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality);North America (USA);4040 Vineland Avenue  | Suite105 | STUDIOCITY | CA | 91607 | UnitedStates;http://www.44blue.com/
48;44 TOONS;Content creation / Production / Distribution (Production company/Content creation.); - ;"Kids & Teens (Animation, Kids Interactive, Live-Action); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies); Gaming (Online / Mobile Games); Publishing (IPs)";South & Central America (Brazil);Rua Fidalga, 471   | Room4 | SAOPAULO | SP | 06754060 | Brazil;http://www.44toons.com/
49;4DIGITAL MEDIA LTD;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Theatrical distributor);Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies);Europe (UK);8 Dukes Ride  | GERRARDSCROSS | Buckinghamshire | SL97LD | UnitedKingdom;http://www.4digitalmedia.com/
50;4FUN MEDIA S.A.;Broadcasting platforms (TV Channel);Technology and Services (Post Production/Studios);Music;Europe (Poland);Bobrowiecka 1A  | WARSZAWA | 00-728 | Poland;http://www.4fun.tv/
51;4K MEDIA;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);Kids & Teens (Animation);North America (USA);53 W 23rd Street  | 11thFloor | NEWYORK | NY | 10010 | UnitedStates;http://www.yugioh.com/
52;560 MEDIA RIGHTS LIMITED;Broadcasting platforms (TV Channel); - ;"Kids & Teens (Animation, Docs for Kids); Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, History & Civilisation, Nature & Wildlife, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies)";Europe (UK);23 The Foresters, Burgundy House  | HighStreet | HARPENDEN | AL52FB | UnitedKingdom;http://www.560media.com/
53;5ELEMENTS ENTERTAINMENT PVT. LTD;Content creation / Production / Distribution (Production company/Content creation.);"Content creation / production / rights holder (Book publisher); Technology and Services (Post Production/Studios)";"Kids & Teens (Animation); Publishing (Books)";Asia Pacific (India);AA1, 3rd Floor  | 3rdMainRoad,AnnaNagar | CHENNAI | 600040 | India;http://www.5edigital.com/
54;6TER / TEVA;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies)";Europe (France);89 Avenue Charles de Gaulle  | NEUILLYSURSEINE | Ile-de-France | 92200; - 
55;7.23 STUDIO; - ; - ; - ;Europe (France);21 Avenue des Coteaux  | CANNES | Provence-Alpes-Côted'Azur | 06400 | France; - 
56;72SECONDS;Content creation / Production / Distribution (Production company/Content creation.); - ;Drama / Fiction / Scripted Format (Short Film);Asia Pacific (South Korea);B1, 447  | Teheran-ro,Gangnam-gu | SEOUL | 06158 | SouthKorea;http://72sectv.com/
57;7STORIES GMBH;Content creation / Production / Distribution (Production company/Content creation.); - ;Docs & Factual (Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge);Europe (Germany);Medienallee 7  | Unterföhring | Bayern | 85774 | Germany; - 
58;8 ART GLOBAL; - ; - ; - ;Europe (France);42 bis, rue Marcel Dassault  | BOULOGNEBILLANCOURT | 92100 | France;http://www.8artglobal.com/
59;8 STAR ENTERTAINMENT; - ;"Content creation / production / rights holder (Rights Holder / Distributor); Financing & supports (Schools / Official Organisation / Association)";"Kids & Teens (Animation); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies)";North America (USA);4647 Kingswell Ave.  | Suite129 | LOSANGELES | CA | 90027 | UnitedStates;http://www.8starentertainment.com/
60;888B;Content creation / Production / Distribution (Production company/Content creation.);Financing & supports (Film Commission / Fundings);Kids & Teens (Animation);Asia Pacific (Philippines);1685 Evangelista St Bankgkal  | MAKATICITY | 1233 | Philippines; - 
61;9 STORY MEDIA GROUP;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Docs for Kids, Live-Action); Docs & Factual (Educational, youth oriented); Non-Scripted Formats (TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, TV Movies)";North America (Canada);23 Fraser Ave.  | TORONTO | M6K1Y7 | Canada;http://www.9story.com/
1054;FREMANTLEMEDIA NORTH AMERICA; - ; - ; - ;North America (USA);2900 West Alameda Avenue  | 3rdFloor | BURBANK | CA | 91505 | UnitedStates;http://www.fremantlemedia.com/
64;A COMPANY HUNGARY KFT.;Content creation / Production / Distribution (Rights Holder / Distributor); - ;Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies);Europe (Hungary);7. emelet  | Szalayu.4. | BUDAPEST | 1055 | Hungary;http://www.acompanyhungary.hu/
65;A PRIME GROUP;Content creation / Production / Distribution (Production company/Content creation.); - ;"Non-Scripted Formats (Factual Entertainment / Magazine, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries)";Europe (France);112 Avenue Jean-Baptiste Clément  | BOULOGNE | Ile-de-France | 92100;http://wwww.aprimegroup.com/
66;A STARK PRODUCTION PTY LTD;Content creation / Production / Distribution (Production company/Content creation.); - ;Kids & Teens (Animation);Asia Pacific (Australia);Suite 102, Level 1, Chandos Street  | StLeonards | SYDNEY | NewSouthWales | 2065 | Australia;http://www.avrillstarkproduction.com/
67;A WORLD WITH A VIEW S.R.L.;Content creation / Production / Distribution (Production company/Content creation.); - ;Docs & Factual (Arts, Music & Culture);Europe (Italy);Via Degli Imbriani, 20  | MILAN | 20158 | Italy;http://www.aworldwithaview.it/
68;A+E NETWORKS;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Arts, Music & Culture, History & Civilisation, Lifestyle, Reality / Factual, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies); Music";North America (USA);235 East 45th Street  | NEWYORK | NY | 10017 | UnitedStates;http://www.sales.aenetworks.com/
69;A+E NETWORKS BENELUX;Broadcasting platforms (TV Channel); - ;Docs & Factual (History & Civilisation, Reality / Factual);Europe (Netherlands);Vijzelgracht 21  | AMSTERDAM | 1017HN | Netherlands;http://www.aenetworks.com/
70;A+E NETWORKS NORDIC;Broadcasting platforms (TV Channel); - ;Non-Scripted Formats (Factual Entertainment / Magazine);Europe (Denmark);Store Strandstraede 9  | COPENHAGENK | 1255 | Denmark; - 
71;A-COMPANY FILM LICENSING INTERNATIONAL GMBH;Content creation / Production / Distribution (Rights Holder / Distributor); - ;Drama / Fiction / Scripted Format (Feature Film, TV Movies);Europe (Germany);13th floor  | Alexanderstr.7 | BERLIN | Berlin | 10178 | Germany;http://www.a-company-film.com/
72;A.K. COMPANY LTD.;Content creation / Production / Distribution (Rights Holder / Distributor); - ;Drama / Fiction / Scripted Format (Feature Film);Asia Pacific (Japan);Shibuya-ku  | Sendagaya2-37-5-205 | TOKYO | 151-0051 | Japan; - 
73;A1 TELEKOM AUSTRIA AG;Technology and Services (Technology provider/OS); - ;Publishing (IPs);Europe (Austria);Lassallestrasse 9  | VIENNA | 1020 | Austria;http://www.a1.net/
74;A2 DISTRIBUIDORA DE FILMES LTDA;Content creation / Production / Distribution (Rights Holder / Distributor);"Content creation / production / rights holder (Licensing Agent, Theatrical distributor); Broadcasting platforms (Online Video Platform/MCN)";"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies)";South & Central America (Brazil);Av. Ipanema, 165 SL1715  | Alphaville | BARUERI | SP | 06472002 | Brazil;http://www.a2filmes.com.br/
75;A24;Content creation / Production / Distribution (Theatrical distributor);Content creation / production / rights holder (Production company/Content creation);Drama / Fiction / Scripted Format (Feature Film, Series);North America (USA);31 West 27th St  | Floor11 | NEWYORK | NY | 10001 | UnitedStates;http://www.a24films.com/
76;AA STUDIO;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Kids & Teens (Animation);Europe (Russia);31 Dm Ulyanova St, Of 303  | Russia | MOSCOU | 117447 | RussianFederation;http://www.studio-aa.ru/
77;AAA ENTERTAINMENT;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Production company/Content creation);"Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies)";Africa (South Africa);504 Work and Art, 35 Siemert Road,  | NewDoornfontein | JOHANNESBURG | 2094 | SouthAfrica;http://www.aaa-entertain.com/
78;AARDMAN ANIMATIONS;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation); Publishing (Newspaper / mag)";Europe (UK);Gas Ferry Road  | BRISTOL | Bath&NESomerset | BS16UN | UnitedKingdom;http://www.aardman.com/
79;AB GROUPE;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies)";Europe (France);132 Avenue du Président Wilson  | LAPLAINESAINT-DENIS | Ile-de-France | 93210;http://www.ab-international.com/
80;AB INTERNATIONAL DISTRIBUTION;Content creation / Production / Distribution (Rights Holder / Distributor);Broadcasting platforms (TV Channel);"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults; Music";Europe (France);132 Avenue du Président Wilson  | LAPLAINESTDENIS | Ile-de-France | 93210;http://www.ab-international.com/
81;AB TELIA LIETUVA;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator); - ;"Drama / Fiction / Scripted Format (Mobisode / Webisode); News; BrandedEntertainment; Gaming (Online / Mobile Games); Publishing (IPs)";Europe (Lithuania);LVOVO 25  | VILNIUS | 03501 | Lithuania; - 
82;ABACA PRESS; - ; - ; - ;Europe (France);17 rue Louise Michel  | LEVALLOIS | 92300 | France;http://www.abacapress.com/
83;ABC COMMERCIAL;Content creation / Production / Distribution (Rights Holder / Distributor);Broadcasting platforms (TV Channel);"Kids & Teens (Animation, Docs for Kids, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies); News";Asia Pacific (Australia);700 Harris Street, Ultimo  | SYDNEY | NSW | 2007 | Australia;http://www.abccommercial.com/contentsales
